Title,Platforms,Reviews,Players,Positives,Review_summary,Released,Price,Discount,Final_price,Main_tag,Url,All_tags
Hell Let Loose,Win,69322,69322,84,Very Positive,"27 Jul, 2021","44,99€",0,"44,99€",Shooter,https://store.steampowered.com/app/686810/Hell_Let_Loose/?snr=1_7_7_240_150_1,"Shooter, World War II, FPS"
Age of Empires IV: Anniversary Edition,Win,42095,42095,86,Very Positive,"28 Oct, 2021","39,99€",0,"39,99€",Strategy,https://store.steampowered.com/app/1466860/Age_of_Empires_IV_Anniversary_Edition/?snr=1_7_7_240_150_1,"Strategy, RTS, War"
Europa Universalis IV,"Win, Mac, Linux",81485,81485,86,Very Positive,"13 Aug, 2013","39,99€",0,"39,99€",Grand Strategy,https://store.steampowered.com/app/236850/Europa_Universalis_IV/?snr=1_7_7_240_150_1,"Grand Strategy, Historical, Simulation"
World of Tanks Blitz,"Win, Mac",131868,131868,80,Very Positive,"9 Nov, 2016",0,None,0,Tanks,https://store.steampowered.com/app/444200/World_of_Tanks_Blitz/?snr=1_7_7_240_150_1,"Tanks, Free to Play, Shooter"
Arma 3,"Win, Mac",153917,153917,91,Very Positive,"12 Sep, 2013","27,99€",0,"27,99€",Military,https://store.steampowered.com/app/107410/Arma_3/?snr=1_7_7_240_150_1,"Military, Action, Multiplayer"
Crusader Kings III,"Win, Mac, Linux",62825,62825,92,Very Positive,"1 Sep, 2020","49,99€",0,"49,99€",Strategy,https://store.steampowered.com/app/1158310/Crusader_Kings_III/?snr=1_7_7_240_150_1,"Strategy, Simulation, RPG"
Planet Zoo,Win,60656,60656,90,Very Positive,"5 Nov, 2019","44,99€",0,"44,99€",Management,https://store.steampowered.com/app/703080/Planet_Zoo/?snr=1_7_7_240_150_1,"Management, Simulation, Building"
SMITE®,Win,112025,112025,79,Mostly Positive,"8 Sep, 2015",0,None,0,Free to Play,https://store.steampowered.com/app/386360/SMITE/?snr=1_7_7_240_150_1,"Free to Play, MOBA, Multiplayer"
Stellaris,"Win, Mac, Linux",108342,108342,88,Very Positive,"9 May, 2016","39,99€",0,"39,99€",Space,https://store.steampowered.com/app/281990/Stellaris/?snr=1_7_7_240_150_1,"Space, Grand Strategy, Strategy"
Mount & Blade II: Bannerlord,Win,178391,178391,87,Very Positive,"25 Oct, 2022","49,99€",0,"49,99€",Medieval,https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord/?snr=1_7_7_240_150_1,"Medieval, Strategy, Open World"
