Games name,Platforms,Reviewers,,Positive percent,Comment,Released,Price,Discount,Discounted price,Type,URL,All_tags
Gordian Quest,Win,4610,4610,90,Very Positive,"23 Jun, 2022","16,79€",0,"16,79€",RPG,https://store.steampowered.com/app/981430/Gordian_Quest/?snr=1_7_7_240_150_12,"RPG, Card Game, Card Battler"
Cities: Skylines - Content Creator Pack: University City,"Win, Mac, Linux",187,0,0,None,"21 May, 2019","4,99€",None,0,Simulation,https://store.steampowered.com/app/1059820/Cities_Skylines__Content_Creator_Pack_University_City/?snr=1_7_7_240_150_12,"Simulation, Strategy"
Idle Monster TD: Evolved,"Win, Mac",1021,1021,79,Mostly Positive,"16 Nov, 2022",0,None,0,Idler,https://store.steampowered.com/app/1887930/Idle_Monster_TD_Evolved/?snr=1_7_7_240_150_12,"Idler, Tower Defense, Strategy"
Expansion - Europa Universalis IV: Rights of Man,"Win, Mac, Linux",288,0,0,None,"11 Oct, 2016","19,99€",0,"19,99€",Strategy,https://store.steampowered.com/app/486570/Expansion__Europa_Universalis_IV_Rights_of_Man/?snr=1_7_7_240_150_12,"Strategy, Simulation, Grand Strategy"
Clue/Cluedo: Classic Edition,Win,2389,2389,88,Very Positive,"17 May, 2018","12,49€",0,"12,49€",Board Game,https://store.steampowered.com/app/794800/ClueCluedo_Classic_Edition/?snr=1_7_7_240_150_12,"Board Game, Strategy, Casual"
Age of Empires III: Definitive Edition - United States Civilization,Win,546,0,0,None,"13 Apr, 2021","4,99€",0,"4,99€",Strategy,https://store.steampowered.com/app/1581450/Age_of_Empires_III_Definitive_Edition__United_States_Civilization/?snr=1_7_7_240_150_12,Strategy
Order of Battle: Red Star,"Win, Mac",49,49,73,Mostly Positive,"8 Aug, 2019","14,79€",0,"14,79€",Strategy,https://store.steampowered.com/app/1102380/Order_of_Battle_Red_Star/?snr=1_7_7_240_150_12,"Strategy, Simulation"
Apewar,Win,2889,2889,94,Very Positive,"24 Mar, 2023","1,99€",0,"1,99€",Action,https://store.steampowered.com/app/2306590/Apewar/?snr=1_7_7_240_150_12,"Action, Casual, Shooter"
Patrick's Parabox,"Win, Mac, Linux",2567,2567,99,Overwhelmingly Positive,"29 Mar, 2022","19,50€",0,"19,50€",Puzzle,https://store.steampowered.com/app/1260520/Patricks_Parabox/?snr=1_7_7_240_150_12,"Puzzle, Sokoban, Abstract"
Civilization V - Scrambled Nations Map Pack,"Win, Mac, Linux",45,45,75,Mostly Positive,"5 Nov, 2013","4,49€",0,"4,49€",Strategy,https://store.steampowered.com/app/235585/Civilization_V__Scrambled_Nations_Map_Pack/?snr=1_7_7_240_150_12,Strategy
Solasta: Crown of the Magister - Supporter Pack,"Win, Mac",37,37,94,Positive,"20 Oct, 2020","9,99€",0,"9,99€",RPG,https://store.steampowered.com/app/1438980/Solasta_Crown_of_the_Magister__Supporter_Pack/?snr=1_7_7_240_150_12,"RPG, Strategy, Adventure"
Red Solstice 2: Survivors - Season Pass,Win,49,49,73,Mostly Positive,"4 Nov, 2021","34,99€",0,"34,99€",RPG,https://store.steampowered.com/app/1751750/Red_Solstice_2_Survivors__Season_Pass/?snr=1_7_7_240_150_12,"RPG, Action, Strategy"
Age of Wonders III,"Win, Mac, Linux",6637,6637,81,Very Positive,"31 Mar, 2014","29,99€",0,"29,99€",Strategy,https://store.steampowered.com/app/226840/Age_of_Wonders_III/?snr=1_7_7_240_150_12,"Strategy, Turn-Based Strategy, Fantasy"
Citystate II,Win,814,814,75,Mostly Positive,"23 Sep, 2021","24,99€",0,"24,99€",City Builder,https://store.steampowered.com/app/1352850/Citystate_II/?snr=1_7_7_240_150_12,"City Builder, Economy, Simulation"
Tennis Manager 2023,"Win, Mac",106,106,85,Very Positive,"25 May, 2023","39,99€",0,"39,99€",Simulation,https://store.steampowered.com/app/2280390/Tennis_Manager_2023/?snr=1_7_7_240_150_12,"Simulation, Sports, Strategy"
The Jackbox Party Pack 2,"Win, Mac, Linux",1257,1257,96,Overwhelmingly Positive,"13 Oct, 2015","24,99€",0,"24,99€",Trivia,https://store.steampowered.com/app/397460/The_Jackbox_Party_Pack_2/?snr=1_7_7_240_150_13,"Trivia, Local Multiplayer, Casual"
Escapists 2 - Glorious Regime Prison,"Win, Mac, Linux",74,74,85,Very Positive,"21 Aug, 2017","3,99€",None,0,Indie,https://store.steampowered.com/app/666350/Escapists_2__Glorious_Regime_Prison/?snr=1_7_7_240_150_13,"Indie, Strategy, Simulation"
Sins of a Solar Empire®: Rebellion,Win,9474,9474,93,Very Positive,"12 Jun, 2012","38,99€",0,"38,99€",Management,https://store.steampowered.com/app/204880/Sins_of_a_Solar_Empire_Rebellion/?snr=1_7_7_240_150_13,"Management, Diplomacy, Online Co-Op"
Dungeons 3,"Win, Mac, Linux",11803,11803,94,Very Positive,"13 Oct, 2017","29,99€",0,"29,99€",Strategy,https://store.steampowered.com/app/493900/Dungeons_3/?snr=1_7_7_240_150_13,"Strategy, Villain Protagonist, Simulation"
