,Games name,Platforms,Multiplatform,Reviewers,Unnamed: 3,Positive percent,Comment,Released,Day_since_release,Price,Discount,On_sale,Discounted price,Type,URL,All_tags
3336,Frontline: World War II,Win,0,37.0,37,86,Positive,"1 Jan, 2021",1000,"11,79€",0.0,0,"11,79€",Turn-Based Tactics,https://store.steampowered.com/app/1394500/Frontline_World_War_II/?snr=1_7_7_240_150_35,"Turn-Based Tactics, Turn-Based Strategy, World War II"
3337,Histy's Emergency Aid Plan Pack / いーすんからの救済用仕様書パック / 伊伊贈送的救濟用製作書套裝,Win,0,50.0,50,100,Very Positive,"30 Oct, 2015",2890,"0,99€",0.0,0,"0,99€",RPG,https://store.steampowered.com/app/389150/Histys_Emergency_Aid_Plan_Pack/?snr=1_7_7_240_150_35,"RPG, Strategy"
3338,Ninja Stealth 4,Win,0,65.0,65,83,Very Positive,"16 Aug, 2021",773,"0,99€",0.0,0,"0,99€",Stealth,https://store.steampowered.com/app/1711840/Ninja_Stealth_4/?snr=1_7_7_240_150_35,"Stealth, Strategy, Ninja"
3339,Feudal Friends,"Win, Mac",1,233.0,0,0,,"17 Jul, 2023",73,"8,99€",0.0,0,"8,99€",Online Co-Op,https://store.steampowered.com/app/2317820/Feudal_Friends/?snr=1_7_7_240_150_35,"Online Co-Op, Multiplayer, RPG"
3340,Hard West: Scars of Freedom DLC,"Win, Mac, Linux",1,123.0,123,79,Mostly Positive,"3 Mar, 2016",2765,"2,99€",0.0,0,"2,99€",Strategy,https://store.steampowered.com/app/441700/Hard_West_Scars_of_Freedom_DLC/?snr=1_7_7_240_150_35,"Strategy, Adventure, RPG"
3341,B-17 Flying Fortress: World War II Bombers in Action,Win,0,10.0,10,80,Positive,"19 Nov, 2021",678,"7,39€",0.0,0,"7,39€",Flight,https://store.steampowered.com/app/1634450/B17_Flying_Fortress_World_War_II_Bombers_in_Action/?snr=1_7_7_240_150_35,"Flight, Strategy, Immersive Sim"
3342,RideOp - Thrill Ride Simulator,Win,0,126.0,0,0,,"18 Oct, 2018",1806,"19,99€",0.0,0,"19,99€",Casual,https://store.steampowered.com/app/699770/RideOp__Thrill_Ride_Simulator/?snr=1_7_7_240_150_35,"Casual, Simulation, Strategy"
3343,Recon Control,Win,0,59.0,59,89,Very Positive,"4 Nov, 2021",693,"9,19€",0.0,0,"9,19€",Turn-Based Tactics,https://store.steampowered.com/app/1491510/Recon_Control/?snr=1_7_7_240_150_35,"Turn-Based Tactics, Turn-Based Strategy, Replay Value"
3344,Words Can Kill,"Win, Linux",1,60.0,60,73,Mostly Positive,"29 Sep, 2022",364,"5,99€",0.0,0,"5,99€",Roguelike Deckbuilder,https://store.steampowered.com/app/1732090/Words_Can_Kill/?snr=1_7_7_240_150_35,"Roguelike Deckbuilder, Card Battler, Deckbuilding"
3345,Ticket To Ride: Classic Edition - Switzerland,"Win, Mac",1,13.0,13,100,Positive,"24 May, 2012",4144,"3,99€",0.0,0,"3,99€",Indie,https://store.steampowered.com/app/108231/Ticket_To_Ride_Classic_Edition__Switzerland/?snr=1_7_7_240_150_35,"Indie, Casual, Strategy"
3346,"Rats, Bats, and Bones","Win, Mac, Linux",1,74.0,74,91,Very Positive,"28 Oct, 2019",1431,"4,99€",0.0,0,"4,99€",Indie,https://store.steampowered.com/app/845690/Rats_Bats_and_Bones/?snr=1_7_7_240_150_35,"Indie, Strategy, Tower Defense"
3347,Ord.,"Win, Mac, Linux",1,188.0,188,93,Very Positive,"5 Jun, 2019",1576,"1,59€",0.0,0,"1,59€",Adventure,https://store.steampowered.com/app/1079000/Ord/?snr=1_7_7_240_150_35,"Adventure, Indie, Casual"
3348,Party Hard 2 DLC: Alien Butt Form,Win,0,33.0,0,0,,"19 Mar, 2019",1654,"6,89€",100.0,1,0,Action,https://store.steampowered.com/app/1029090/Party_Hard_2_DLC_Alien_Butt_Form/?snr=1_7_7_240_150_35,"Action, Adventure, Indie"
3349,Math Fun,Win,0,72.0,72,80,Very Positive,"4 Aug, 2018",1881,"3,99€",0.0,0,"3,99€",Education,https://store.steampowered.com/app/890220/Math_Fun/?snr=1_7_7_240_150_35,"Education, Story Rich, Cult Classic"
3350,Super Jigsaw Puzzle,Win,0,105.0,105,88,Very Positive,"15 Feb, 2018",2051,"4,99€",0.0,0,"4,99€",Casual,https://store.steampowered.com/app/792650/Super_Jigsaw_Puzzle/?snr=1_7_7_240_150_35,"Casual, Indie, Simulation"
3351,Sim Companies,"Win, Mac, Linux",1,122.0,121,86,Very Positive,"31 Aug, 2023",28,0,100.0,1,0,Simulation,https://store.steampowered.com/app/2253720/Sim_Companies/?snr=1_7_7_240_150_35,"Simulation, Strategy, Trading"
3352,Colonial Conquest,"Win, Mac",1,199.0,0,0,,"28 Jul, 2015",2984,"9,99€",0.0,0,"9,99€",Strategy,https://store.steampowered.com/app/341030/Colonial_Conquest/?snr=1_7_7_240_150_35,"Strategy, Wargame, Historical"
3353,Cocaine Dealer,Win,0,94.0,94,82,Very Positive,"8 Dec, 2021",659,"3,29€",0.0,0,"3,29€",Early Access,https://store.steampowered.com/app/1341300/Cocaine_Dealer/?snr=1_7_7_240_150_35,"Early Access, Strategy, Management"
3354,Disgraced,Win,0,69.0,69,82,Very Positive,"18 Nov, 2016",2505,"8,79€",0.0,0,"8,79€",Choose Your Own Adventure,https://store.steampowered.com/app/485360/Disgraced/?snr=1_7_7_240_150_35,"Choose Your Own Adventure, Open World, Exploration"
3355,Rise of Prussia Gold,Win,0,25.0,25,76,Mostly Positive,"7 May, 2014",3431,"19,50€",0.0,0,"19,50€",Strategy,https://store.steampowered.com/app/292760/Rise_of_Prussia_Gold/?snr=1_7_7_240_150_35,"Strategy, Historical, Wargame"
3356,Home Behind,"Win, Mac, Linux",1,4588.0,4588,84,Very Positive,"2 Jun, 2016",2674,"5,99€",100.0,1,0,Adventure,https://store.steampowered.com/app/467960/Home_Behind/?snr=1_7_7_240_150_35,"Adventure, RPG, Survival"
3357,Chess Brain,"Win, Mac, Linux",1,122.0,122,90,Very Positive,"8 Sep, 2020",1115,"0,99€",0.0,0,"0,99€",Chess,https://store.steampowered.com/app/1404190/Chess_Brain/?snr=1_7_7_240_150_35,"Chess, Puzzle, Strategy"
3358,BoomTown! Deluxe,Win,0,130.0,130,83,Very Positive,"14 Oct, 2016",2540,"0,99€",0.0,0,"0,99€",Simulation,https://store.steampowered.com/app/536750/BoomTown_Deluxe/?snr=1_7_7_240_150_35,"Simulation, Strategy, Indie"
3359,Immortal Defense,Win,0,149.0,149,82,Very Positive,"31 Aug, 2015",2950,"6,99€",0.0,0,"6,99€",Indie,https://store.steampowered.com/app/298360/Immortal_Defense/?snr=1_7_7_240_150_35,"Indie, Strategy, Action"
3360,Raiders! Forsaken Earth,Win,0,207.0,207,82,Very Positive,"10 Nov, 2020",1052,"16,79€",0.0,0,"16,79€",CRPG,https://store.steampowered.com/app/972010/Raiders_Forsaken_Earth/?snr=1_7_7_240_150_35,"CRPG, Grand Strategy, Tactical RPG"
3361,MarZ: Tactical Base Defense,Win,0,704.0,704,78,Mostly Positive,"4 Apr, 2019",1638,"19,99€",0.0,0,"19,99€",Strategy,https://store.steampowered.com/app/682530/MarZ_Tactical_Base_Defense/?snr=1_7_7_240_150_35,"Strategy, Tower Defense, Tactical"
3362,Tropico 6 - El Prez Edition Upgrade,"Win, Mac, Linux",1,15.0,0,0,,"29 Mar, 2019",1644,"7,99€",0.0,0,"7,99€",Strategy,https://store.steampowered.com/app/881960/Tropico_6__El_Prez_Edition_Upgrade/?snr=1_7_7_240_150_35,"Strategy, Simulation"
3363,Forest Golf Planner,Win,0,11.0,11,90,Positive,"30 Jul, 2023",60,"7,99€",100.0,1,0,Simulation,https://store.steampowered.com/app/2119670/Forest_Golf_Planner/?snr=1_7_7_240_150_35,"Simulation, Casual, Golf"
3364,富甲天下3,Win,0,361.0,361,84,Very Positive,"5 Jan, 2023",266,"7,79€",0.0,0,"7,79€",Casual,https://store.steampowered.com/app/2258590/3/?snr=1_7_7_240_150_35,"Casual, Strategy, Tabletop"
3365,Castle Warriors,Win,0,71.0,71,90,Very Positive,"23 Feb, 2023",217,"2,99€",100.0,1,0,Early Access,https://store.steampowered.com/app/2135320/Castle_Warriors/?snr=1_7_7_240_150_35,"Early Access, Auto Battler, Roguelike"
3366,Swirl W@tch,"Win, Linux",1,26.0,26,100,Positive,"17 Apr, 2023",164,"14,99€",0.0,0,"14,99€",Stealth,https://store.steampowered.com/app/2081970/Swirl_Wtch/?snr=1_7_7_240_150_35,"Stealth, Tactical, Roguelite"
3367,Children of a Dead Earth,"Win, Mac",1,681.0,681,89,Very Positive,"23 Sep, 2016",2561,"16,79€",0.0,0,"16,79€",Simulation,https://store.steampowered.com/app/476530/Children_of_a_Dead_Earth/?snr=1_7_7_240_150_35,"Simulation, Strategy, Space"
3368,Polimines,"Win, Mac, Linux",1,49.0,49,89,Positive,"29 Mar, 2022",548,"3,99€",0.0,0,"3,99€",Puzzle,https://store.steampowered.com/app/1892790/Polimines/?snr=1_7_7_240_150_35,"Puzzle, Logic, Strategy"
3369,Deadly Dozen: Pacific Theater,Win,0,35.0,35,88,Positive,"4 Dec, 2020",1028,"8,19€",0.0,0,"8,19€",World War II,https://store.steampowered.com/app/1267930/Deadly_Dozen_Pacific_Theater/?snr=1_7_7_240_150_35,"World War II, Third-Person Shooter, Strategy"
3370,Bunny Minesweeper,"Win, Linux",1,55.0,55,90,Very Positive,"10 Aug, 2018",1875,"2,99€",0.0,0,"2,99€",Casual,https://store.steampowered.com/app/900790/Bunny_Minesweeper/?snr=1_7_7_240_150_35,"Casual, Indie, Strategy"
3371,Hyperdimension Neptunia Re;Birth1 Plutia Battle Entry,Win,0,114.0,114,98,Very Positive,"29 Jan, 2015",3164,"0,99€",0.0,0,"0,99€",RPG,https://store.steampowered.com/app/319014/Hyperdimension_Neptunia_ReBirth1_Plutia_Battle_Entry/?snr=1_7_7_240_150_35,"RPG, Strategy"
3372,Hyperdimension Neptunia Re;Birth1 Peashy Battle Entry,Win,0,58.0,58,98,Very Positive,"29 Jan, 2015",3164,"0,99€",0.0,0,"0,99€",RPG,https://store.steampowered.com/app/319015/Hyperdimension_Neptunia_ReBirth1_Peashy_Battle_Entry/?snr=1_7_7_240_150_35,"RPG, Strategy"
3373,Crazy Machines 2,Win,0,110.0,0,0,,"20 Jun, 2008",5578,"9,99€",0.0,0,"9,99€",Casual,https://store.steampowered.com/app/18400/Crazy_Machines_2/?snr=1_7_7_240_150_35,"Casual, Puzzle, Strategy"
3374,Gomoku Let's Go,Win,0,624.0,624,89,Very Positive,"28 Jul, 2021",792,"2,39€",100.0,1,0,Strategy,https://store.steampowered.com/app/1555400/Gomoku_Lets_Go/?snr=1_7_7_240_150_35,"Strategy, Tabletop, 3D"
3375,Unexplored 2: The Wayfarer's Legacy,Win,0,213.0,213,75,Mostly Positive,"27 May, 2022",489,"19,50€",0.0,0,"19,50€",Colorful,https://store.steampowered.com/app/1095040/Unexplored_2_The_Wayfarers_Legacy/?snr=1_7_7_240_150_35,"Colorful, Roguelite, RPG"
3376,Content Pack - Crusader Kings II: Conclave,"Win, Mac, Linux",1,50.0,0,0,,"2 Feb, 2016",2795,"4,99€",0.0,0,"4,99€",Strategy,https://store.steampowered.com/app/394321/Content_Pack__Crusader_Kings_II_Conclave/?snr=1_7_7_240_150_35,"Strategy, RPG, Simulation"
3377,Content Pack - Crusader Kings II: Conclave,"Win, Mac, Linux",1,50.0,0,0,,"2 Feb, 2016",2795,"4,99€",0.0,0,"4,99€",Strategy,https://store.steampowered.com/app/394321/Content_Pack__Crusader_Kings_II_Conclave/?snr=1_7_7_240_150_36,"Strategy, RPG, Simulation"
3378,M1 Tank Platoon II,Win,0,27.0,27,81,Positive,"3 May, 2022",513,"8,19€",0.0,0,"8,19€",Simulation,https://store.steampowered.com/app/1406700/M1_Tank_Platoon_II/?snr=1_7_7_240_150_36,"Simulation, Action, Strategy"
3379,Tropico 5 - T-Day,"Win, Mac, Linux",1,26.0,26,80,Positive,"23 Jul, 2015",2989,"3,99€",0.0,0,"3,99€",Strategy,https://store.steampowered.com/app/306392/Tropico_5__TDay/?snr=1_7_7_240_150_36,"Strategy, Simulation, RPG"
3380,SOLAS 128,Win,0,149.0,149,97,Very Positive,"25 Jan, 2021",976,"14,79€",0.0,0,"14,79€",Logic,https://store.steampowered.com/app/1257850/SOLAS_128/?snr=1_7_7_240_150_36,"Logic, Psychological, Programming"
3381,Ostalgie: Disorder in Yugoslavia,"Win, Mac, Linux",1,21.0,21,80,Positive,"9 Mar, 2022",568,"3,99€",0.0,0,"3,99€",Strategy,https://store.steampowered.com/app/1886380/Ostalgie_Disorder_in_Yugoslavia/?snr=1_7_7_240_150_36,"Strategy, Indie, Simulation"
3382,Rocket Bot Royale,"Win, Mac, Linux",1,125.0,125,89,Very Positive,"20 Apr, 2022",526,"2,39€",0.0,0,"2,39€",Multiplayer,https://store.steampowered.com/app/1748390/Rocket_Bot_Royale/?snr=1_7_7_240_150_36,"Multiplayer, Battle Royale, PvP"
3383,World Championship Boxing Manager™ 2,Win,0,61.0,61,70,Mostly Positive,"17 Jan, 2023",254,"10,79€",0.0,0,"10,79€",Boxing,https://store.steampowered.com/app/1903970/World_Championship_Boxing_Manager_2/?snr=1_7_7_240_150_36,"Boxing, Sports, Management"
3384,BalanCity,"Win, Mac, Linux",1,583.0,583,83,Very Positive,"21 Sep, 2016",2563,"7,99€",0.0,0,"7,99€",Physics,https://store.steampowered.com/app/462680/BalanCity/?snr=1_7_7_240_150_36,"Physics, City Builder, Puzzle"
3385,Descent: FreeSpace – The Great War,Win,0,204.0,204,77,Mostly Positive,"7 May, 2014",3431,"9,99€",0.0,0,"9,99€",Space,https://store.steampowered.com/app/273600/Descent_FreeSpace__The_Great_War/?snr=1_7_7_240_150_36,"Space, Action, Sci-fi"
3386,Ancestors Legacy - Saladin's Conquest,Win,0,103.0,103,77,Mostly Positive,"21 May, 2019",1591,"9,99€",0.0,0,"9,99€",Strategy,https://store.steampowered.com/app/1049810/Ancestors_Legacy__Saladins_Conquest/?snr=1_7_7_240_150_36,"Strategy, Gore, Violent"
3387,Gun Bombers,Win,0,33.0,33,90,Positive,"21 Sep, 2016",2563,"3,99€",0.0,0,"3,99€",Strategy,https://store.steampowered.com/app/416180/Gun_Bombers/?snr=1_7_7_240_150_36,"Strategy, Multiplayer, PvP"
3388,Space Station Tycoon,Win,0,125.0,0,0,,"29 Oct, 2020",1064,"19,50€",100.0,1,0,Early Access,https://store.steampowered.com/app/1324270/Space_Station_Tycoon/?snr=1_7_7_240_150_36,"Early Access, Management, Space"
3389,Reassembly Soundtrack,Music,0,10.0,10,100,Positive,"2 Mar, 2015",3132,"3,99€",0.0,0,"3,99€",Indie,https://store.steampowered.com/app/353850/Reassembly_Soundtrack/?snr=1_7_7_240_150_36,"Indie, Strategy, Action"
3390,Sigma Theory: Global Cold War,"Win, Mac, Linux",1,829.0,829,77,Mostly Positive,"21 Nov, 2019",1407,"17,99€",0.0,0,"17,99€",Political Sim,https://store.steampowered.com/app/716640/Sigma_Theory_Global_Cold_War/?snr=1_7_7_240_150_36,"Political Sim, Sandbox, Economy"
3391,Company of Heroes 2 - Case Blue Mission Pack,"Win, Mac, Linux",1,126.0,0,0,,"24 Sep, 2013",3656,"7,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/231479/Company_of_Heroes_2__Case_Blue_Mission_Pack/?snr=1_7_7_240_150_36,"Strategy, World War II"
3392,Mars Power Industries Deluxe,"Win, Mac, Linux",1,516.0,516,93,Very Positive,"4 Nov, 2019",1424,"5,89€",100.0,1,0,Wholesome,https://store.steampowered.com/app/977230/Mars_Power_Industries_Deluxe/?snr=1_7_7_240_150_36,"Wholesome, Stylized, Resource Management"
3393,Ancestors Legacy - Digital Soundtrack,Music,0,28.0,28,92,Positive,"22 May, 2018",1955,"7,99€",0.0,0,"7,99€",Strategy,https://store.steampowered.com/app/799331/Ancestors_Legacy__Digital_Soundtrack/?snr=1_7_7_240_150_36,"Strategy, Soundtrack"
3394,Oriental Empires: Three Kingdoms,Win,0,37.0,37,78,Mostly Positive,"29 Aug, 2019",1491,"9,75€",0.0,0,"9,75€",Strategy,https://store.steampowered.com/app/1089620/Oriental_Empires_Three_Kingdoms/?snr=1_7_7_240_150_36,"Strategy, Indie, Simulation"
3395,Heroes Of The Dark,Win,0,216.0,0,0,,"6 Apr, 2022",540,0,100.0,1,0,RPG,https://store.steampowered.com/app/1851330/Heroes_Of_The_Dark/?snr=1_7_7_240_150_36,"RPG, Strategy, City Builder"
3396,"Shachibato! President, It's Time for Battle! Maju Wars",Win,0,85.0,0,0,,"30 Mar, 2021",912,"16,79€",0.0,0,"16,79€",Simulation,https://store.steampowered.com/app/1390600/Shachibato_President_Its_Time_for_Battle_Maju_Wars/?snr=1_7_7_240_150_36,"Simulation, Strategy, Turn-Based Strategy"
3397,Heroes of the Three Kingdoms 6,Win,0,126.0,126,83,Very Positive,"12 Nov, 2020",1050,"3,29€",0.0,0,"3,29€",Strategy,https://store.steampowered.com/app/1437870/Heroes_of_the_Three_Kingdoms_6/?snr=1_7_7_240_150_36,"Strategy, Strategy RPG, Singleplayer"
3398,Isotiles - Isometric Puzzle Game,"Win, Mac",1,181.0,181,87,Very Positive,"16 Jun, 2017",2295,"1,99€",100.0,1,0,Isometric,https://store.steampowered.com/app/654440/Isotiles__Isometric_Puzzle_Game/?snr=1_7_7_240_150_36,"Isometric, Casual, Puzzle"
3399,Tavern of Gods,Win,0,725.0,725,78,Mostly Positive,"20 Aug, 2021",769,"10,54€",23.0,1,"8,12€",Indie,https://store.steampowered.com/app/1418020/Tavern_of_Gods/?snr=1_7_7_240_150_36,"Indie, Roguelite, Auto Battler"
3400,100% Orange Juice - Pudding Pack,Win,0,30.0,30,96,Positive,"28 Oct, 2019",1431,"1,99€",0.0,0,"1,99€",Strategy,https://store.steampowered.com/app/1180510/100_Orange_Juice__Pudding_Pack/?snr=1_7_7_240_150_36,"Strategy, Indie"
3401,Hamboy : AutoChess Survivor,"Win, Mac",1,23.0,23,78,Mostly Positive,"27 Jul, 2023",63,"3,99€",0.0,0,"3,99€",Action,https://store.steampowered.com/app/2452350/Hamboy__AutoChess_Survivor/?snr=1_7_7_240_150_36,"Action, Casual, Strategy"
3402,Fantasy General II: Evolution,Win,0,14.0,0,0,,"25 Feb, 2021",945,"14,79€",0.0,0,"14,79€",Strategy,https://store.steampowered.com/app/1401480/Fantasy_General_II_Evolution/?snr=1_7_7_240_150_36,Strategy
3403,Zula Global,Win,0,6284.0,0,0,,"12 Jan, 2018",2085,0,100.0,1,0,Free to Play,https://store.steampowered.com/app/747610/Zula_Global/?snr=1_7_7_240_150_36,"Free to Play, FPS, Action"
3404,Umbral Omen,Win,0,13.0,13,92,Positive,"12 Feb, 2023",228,"7,79€",0.0,0,"7,79€",Casual,https://store.steampowered.com/app/2099390/Umbral_Omen/?snr=1_7_7_240_150_36,"Casual, Puzzle, Strategy"
3405,Into the Breach Soundtrack,Music,0,29.0,29,93,Positive,"27 Feb, 2018",2039,"4,99€",0.0,0,"4,99€",Indie,https://store.steampowered.com/app/807320/Into_the_Breach_Soundtrack/?snr=1_7_7_240_150_36,"Indie, Strategy, RPG"
3406,Tropico 5 - Waterborne,"Win, Mac, Linux",1,60.0,60,71,Mostly Positive,"17 Dec, 2014",3207,"7,99€",0.0,0,"7,99€",Strategy,https://store.steampowered.com/app/284440/Tropico_5__Waterborne/?snr=1_7_7_240_150_36,"Strategy, Simulation, RPG"
3407,Rising Storm 2: Vietnam - Man Down Under Cosmetic DLC,Win,0,10.0,10,90,Positive,"7 Mar, 2018",2031,"6,59€",0.0,0,"6,59€",Strategy,https://store.steampowered.com/app/794342/Rising_Storm_2_Vietnam__Man_Down_Under_Cosmetic_DLC/?snr=1_7_7_240_150_36,"Strategy, Action, Massively Multiplayer"
3408,Nethergate: Resurrection,Win,0,87.0,87,88,Very Positive,"5 Oct, 2012",4010,"4,99€",0.0,0,"4,99€",RPG,https://store.steampowered.com/app/218020/Nethergate_Resurrection/?snr=1_7_7_240_150_36,"RPG, Indie, Strategy"
3409,Puzzline,"Win, Mac",1,41.0,41,100,Positive,"4 Nov, 2022",328,"3,99€",0.0,0,"3,99€",Indie,https://store.steampowered.com/app/2088670/Puzzline/?snr=1_7_7_240_150_36,"Indie, Card Game, Multiplayer"
3410,Cute Honey: Bunny Girl,Win,0,730.0,730,71,Mostly Positive,"25 Nov, 2021",672,"3,99€",0.0,0,"3,99€",Strategy,https://store.steampowered.com/app/1740000/Cute_Honey_Bunny_Girl/?snr=1_7_7_240_150_36,"Strategy, Action, Adventure"
3411,Primitive Shooter,Win,0,71.0,71,80,Very Positive,"7 Feb, 2018",2059,"20,49€",83.0,1,"3,48€",Action,https://store.steampowered.com/app/790930/Primitive_Shooter/?snr=1_7_7_240_150_36,"Action, Indie, Strategy"
3412,Dead Town Tales,Win,0,326.0,326,85,Very Positive,"25 May, 2023",126,"11,79€",100.0,1,0,Strategy,https://store.steampowered.com/app/2198680/Dead_Town_Tales/?snr=1_7_7_240_150_36,"Strategy, Card Game, Roguelite"
3413,Broken Lines,"Win, Mac, Linux",1,536.0,536,77,Mostly Positive,"25 Feb, 2020",1311,"24,50€",0.0,0,"24,50€",Zombies,https://store.steampowered.com/app/926580/Broken_Lines/?snr=1_7_7_240_150_36,"Zombies, Tactical, World War II"
3414,Hyperdimension Neptunia Re;Birth1 Colosseum + Characters DLC,Win,0,18.0,18,83,Positive,"5 Sep, 2018",1849,"3,99€",0.0,0,"3,99€",Strategy,https://store.steampowered.com/app/898961/Hyperdimension_Neptunia_ReBirth1_Colosseum__Characters_DLC/?snr=1_7_7_240_150_36,"Strategy, RPG"
3415,Conflict of Heroes: Awakening the Bear,Win,0,29.0,0,0,,"25 Oct, 2016",2529,"28,99€",0.0,0,"28,99€",Simulation,https://store.steampowered.com/app/510320/Conflict_of_Heroes_Awakening_the_Bear/?snr=1_7_7_240_150_36,"Simulation, Strategy, Board Game"
3416,Takara Cards,"Win, Linux",1,30.0,30,100,Positive,"28 Mar, 2023",184,"14,79€",0.0,0,"14,79€",Early Access,https://store.steampowered.com/app/1932210/Takara_Cards/?snr=1_7_7_240_150_36,"Early Access, Turn-Based Strategy, Spaceships"
3417,Majesty 2,Win,0,897.0,0,0,,"17 Sep, 2009",5124,"9,99€",0.0,0,"9,99€",Strategy,https://store.steampowered.com/app/25980/Majesty_2/?snr=1_7_7_240_150_36,"Strategy, Simulation, Fantasy"
3418,Dungeons 3 - An Unexpected DLC,"Win, Mac, Linux",1,30.0,0,0,,"15 Feb, 2019",1686,"4,99€",0.0,0,"4,99€",Strategy,https://store.steampowered.com/app/975360/Dungeons_3__An_Unexpected_DLC/?snr=1_7_7_240_150_36,"Strategy, Simulation"
3419,Cuban Missile Crisis,Win,0,198.0,198,76,Mostly Positive,"25 Mar, 2015",3109,"4,99€",0.0,0,"4,99€",Strategy,https://store.steampowered.com/app/356270/Cuban_Missile_Crisis/?snr=1_7_7_240_150_36,"Strategy, RTS, Cold War"
3420,The Banner Saga 2 - Soundtrack,Music,0,12.0,12,75,Mostly Positive,"19 Apr, 2016",2718,"7,99€",0.0,0,"7,99€",RPG,https://store.steampowered.com/app/425440/The_Banner_Saga_2__Soundtrack/?snr=1_7_7_240_150_36,"RPG, Strategy, Indie"
3421,Victoria II: Interwar Planes Sprite Pack,Win,0,24.0,0,0,,"15 Mar, 2011",4580,"1,99€",0.0,0,"1,99€",Strategy,https://store.steampowered.com/app/42966/Victoria_II_Interwar_Planes_Sprite_Pack/?snr=1_7_7_240_150_36,Strategy
3422,Eximius: Seize the Frontline,Win,0,454.0,454,75,Mostly Positive,"16 Mar, 2021",926,"7,99€",0.0,0,"7,99€",Co-op,https://store.steampowered.com/app/505740/Eximius_Seize_the_Frontline/?snr=1_7_7_240_150_36,"Co-op, First-Person, 3D"
3423,Sudden Strike 3,Win,0,146.0,0,0,,"22 May, 2017",2320,"5,99€",0.0,0,"5,99€",Strategy,https://store.steampowered.com/app/612540/Sudden_Strike_3/?snr=1_7_7_240_150_36,"Strategy, World War II, RTS"
3424,Hero by Chance,Win,0,998.0,998,79,Mostly Positive,"8 Jan, 2021",993,"1,99€",100.0,1,0,Sexual Content,https://store.steampowered.com/app/1433420/Hero_by_Chance/?snr=1_7_7_240_150_36,"Sexual Content, Nudity, Hentai"
3425,100% Orange Juice - Iru & Mira Character Pack,Win,0,29.0,29,82,Positive,"18 Mar, 2019",1655,"2,99€",0.0,0,"2,99€",Strategy,https://store.steampowered.com/app/1050440/100_Orange_Juice__Iru__Mira_Character_Pack/?snr=1_7_7_240_150_36,"Strategy, Indie"
3426,Putin Life,"Win, Mac",1,181.0,181,90,Very Positive,"13 Nov, 2019",1415,"0,79€",0.0,0,"0,79€",Casual,https://store.steampowered.com/app/1151390/Putin_Life/?snr=1_7_7_240_150_36,"Casual, Indie, Strategy"
3427,MouseCraft,"Win, Mac, Linux",1,162.0,162,87,Very Positive,"8 Jul, 2014",3369,"9,99€",0.0,0,"9,99€",Indie,https://store.steampowered.com/app/252750/MouseCraft/?snr=1_7_7_240_150_36,"Indie, Casual, Strategy"
3428,Iron Sea Defenders,Win,0,279.0,279,82,Very Positive,"9 Sep, 2016",2575,"4,99€",0.0,0,"4,99€",Casual,https://store.steampowered.com/app/431750/Iron_Sea_Defenders/?snr=1_7_7_240_150_36,"Casual, Action, Adventure"
3429,Stygian: Reign of the Old Ones,"Win, Mac, Linux",1,1644.0,0,0,,"26 Sep, 2019",1463,"19,99€",0.0,0,"19,99€",RPG,https://store.steampowered.com/app/779290/Stygian_Reign_of_the_Old_Ones/?snr=1_7_7_240_150_36,"RPG, Indie, Lovecraftian"
3430,"7,62 High Calibre",Win,0,311.0,311,79,Mostly Positive,"30 Apr, 2014",3438,"4,99€",0.0,0,"4,99€",Strategy,https://store.steampowered.com/app/289890/762_High_Calibre/?snr=1_7_7_240_150_36,"Strategy, RPG, Simulation"
3431,Order of Battle: Allies Resurgent,Win,0,18.0,0,0,,"7 Oct, 2021",721,"14,79€",0.0,0,"14,79€",Simulation,https://store.steampowered.com/app/1688120/Order_of_Battle_Allies_Resurgent/?snr=1_7_7_240_150_36,"Simulation, Strategy, Free to Play"
3432,Game Of Puzzles: Dragons,Win,0,63.0,63,92,Very Positive,"9 May, 2019",1603,"0,99€",100.0,1,0,Casual,https://store.steampowered.com/app/1072590/Game_Of_Puzzles_Dragons/?snr=1_7_7_240_150_36,"Casual, Indie, Strategy"
3433,Steam: Rails to Riches,"Win, Mac, Linux",1,98.0,98,79,Mostly Positive,"25 Mar, 2017",2378,"9,75€",0.0,0,"9,75€",Strategy,https://store.steampowered.com/app/595930/Steam_Rails_to_Riches/?snr=1_7_7_240_150_36,"Strategy, Board Game, Casual"
3434,Mobile Forces,Win,0,70.0,70,91,Very Positive,"8 Jun, 2018",1938,"3,29€",0.0,0,"3,29€",Action,https://store.steampowered.com/app/837940/Mobile_Forces/?snr=1_7_7_240_150_36,"Action, Casual, Strategy"
3435,Nino Maze LOFI,Win,0,84.0,84,91,Very Positive,"23 Jun, 2020",1192,"0,79€",0.0,0,"0,79€",Casual,https://store.steampowered.com/app/1333460/Nino_Maze_LOFI/?snr=1_7_7_240_150_36,"Casual, Indie, Strategy"
3436,Bomber Crew Skin Pack 2,"Win, Mac, Linux",1,17.0,17,70,Mostly Positive,"2 Nov, 2018",1791,"2,99€",0.0,0,"2,99€",Strategy,https://store.steampowered.com/app/756080/Bomber_Crew_Skin_Pack_2/?snr=1_7_7_240_150_36,"Strategy, Simulation"
