,Title,Platforms,Multiplatform,Reviews,Players,Positives,Review_summary,Released,Day_since_release,Price,Discount,On_sale,Final_price,Main_tag,Url,All_tags
4359,The Heroic Legend of Eagarlnia - Expansion Pack,Win,0,28.0,28,89,Positive,"13 Apr, 2022",533,"4,99€",0.0,0,"4,99€",Indie,https://store.steampowered.com/app/1880400/The_Heroic_Legend_of_Eagarlnia__Expansion_Pack/?snr=1_7_7_240_150_46,"Indie, Strategy, Fantasy"
4360,Godless Tactics,Win,0,99.0,99,95,Very Positive,"15 May, 2020",1231,"5,99€",0.0,0,"5,99€",Strategy,https://store.steampowered.com/app/1286010/Godless_Tactics/?snr=1_7_7_240_150_46,"Strategy, Adventure, 2D"
4361,Crystal Story II,"Win, Mac",1,277.0,277,94,Very Positive,"6 Feb, 2015",3156,"2,99€",0.0,0,"2,99€",RPG,https://store.steampowered.com/app/344860/Crystal_Story_II/?snr=1_7_7_240_150_46,"RPG, Indie, Adventure"
4362,12 Labours of Hercules II: The Cretan Bull,"Win, Mac, Linux",1,1693.0,1693,90,Very Positive,"5 Jun, 2015",3037,"2,99€",0.0,0,"2,99€",Casual,https://store.steampowered.com/app/360640/12_Labours_of_Hercules_II_The_Cretan_Bull/?snr=1_7_7_240_150_46,"Casual, Strategy, Time Management"
4363,Galactic Civilizations III - Mercenaries Expansion Pack,Win,0,49.0,0,0,,"18 Feb, 2016",2779,"9,75€",0.0,0,"9,75€",Strategy,https://store.steampowered.com/app/411650/Galactic_Civilizations_III__Mercenaries_Expansion_Pack/?snr=1_7_7_240_150_46,"Strategy, Simulation, Indie"
4364,Tempest - Jade Sea,"Win, Mac",1,33.0,0,0,,"15 Feb, 2018",2051,"4,99€",0.0,0,"4,99€",RPG,https://store.steampowered.com/app/746820/Tempest__Jade_Sea/?snr=1_7_7_240_150_46,"RPG, Indie, Action"
4365,Post Human W.A.R,"Win, Mac",1,55.0,55,80,Very Positive,"14 Dec, 2017",2114,"14,99€",0.0,0,"14,99€",Strategy,https://store.steampowered.com/app/462240/Post_Human_WAR/?snr=1_7_7_240_150_46,"Strategy, Indie, Turn-Based"
4366,Swarm the City: Zombie Evolved,Win,0,166.0,166,76,Mostly Positive,"16 Jun, 2022",469,"3,99€",0.0,0,"3,99€",RTS,https://store.steampowered.com/app/1597290/Swarm_the_City_Zombie_Evolved/?snr=1_7_7_240_150_46,"RTS, Zombies, Villain Protagonist"
4367,Arma: Cold War Assault Mac/Linux,"Mac, Linux",1,84.0,84,85,Very Positive,"14 Mar, 2017",2389,"3,99€",0.0,0,"3,99€",Action,https://store.steampowered.com/app/594550/Arma_Cold_War_Assault_MacLinux/?snr=1_7_7_240_150_46,"Action, Simulation, Strategy"
4368,Poly Universe,"Win, Mac, Linux",1,103.0,103,86,Very Positive,"20 Jul, 2018",1896,"8,19€",0.0,0,"8,19€",Strategy,https://store.steampowered.com/app/801040/Poly_Universe/?snr=1_7_7_240_150_46,"Strategy, Simulation, Indie"
